Detector+Descriptor,Lidar_Mean,Lidar_Median,Lidar_Std,Camera_Mean,Camera_Median,Camera_Std
FAST+BRIEF,11.73,12.25,2.37,12.56,12.74,1.3
FAST+ORB,11.73,12.25,2.37,12.51,12.34,1.91
FAST+BRISK,11.73,12.25,2.37,12.47,12.59,1.0
FAST+FREAK,11.73,12.25,2.37,12.34,12.56,1.1
FAST+SIFT,11.73,12.25,2.37,11.95,12.07,1.24
BRISK+BRIEF,11.73,12.25,2.37,13.9,14.17,2.21
BRISK+ORB,11.33,11.17,2.3,14.21,13.39,2.34
BRISK+BRISK,11.42,11.58,2.25,13.55,13.55,2.22
BRISK+FREAK,11.38,11.58,2.23,13.1,12.54,2.19
BRISK+SIFT,11.49,11.98,2.21,14.03,13.86,2.4
ORB+BRIEF,10.73,10.57,1.66,11.31,11.18,2.89
ORB+ORB,11.53,11.85,1.38,11.69,12.19,1.42
ORB+BRISK,11.91,12.56,2.14,13.53,12.86,3.38
ORB+FREAK,11.81,12.61,2.34,9.68,10.68,2.71
ORB+SIFT,11.15,11.17,1.88,12.3,11.11,2.78
AKAZE+BRIEF,11.73,12.25,2.37,12.5,12.61,2.31
AKAZE+ORB,11.73,12.25,2.37,12.58,12.67,1.9
AKAZE+BRISK,11.73,12.25,2.37,12.49,13.11,2.25
AKAZE+FREAK,11.73,12.25,2.37,12.61,12.38,2.37
AKAZE+SIFT,11.73,12.25,2.37,12.39,12.28,2.14
SIFT+BRISK,11.73,12.25,2.37,12.43,11.8,2.85
SIFT+FREAK,11.73,12.25,2.37,12.93,12.53,2.77
SIFT+SIFT,11.44,11.98,2.1,11.86,11.63,2.16
SHITOMASI+BRIEF,11.73,12.25,2.37,12.37,12.33,1.58
SHITOMASI+ORB,11.73,12.25,2.37,12.11,12.15,1.47
SHITOMASI+BRISK,11.73,12.25,2.37,12.27,11.93,1.47
SHITOMASI+FREAK,11.73,12.25,2.37,12.54,12.62,1.94
SHITOMASI+SIFT,11.73,12.25,2.37,12.19,12.15,1.07
HARRIS+BRIEF,12.06,12.61,2.15,7.25,10.91,9.1
HARRIS+ORB,11.71,12.52,2.2,7.66,11.11,8.7
HARRIS+BRISK,11.68,12.3,2.36,1.17,11.4,25.74
HARRIS+FREAK,11.72,11.98,2.13,11.45,11.81,1.38
HARRIS+SIFT,12.06,12.25,2.34,2.77,11.37,24.27
